Code,week_ending,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (all),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency Admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
Eng,2015-04-19,279865,12716,141337,433918,28590,137,473,29200,89.8,93.3,75825,346,917,77088,27888,104976,6661,12
Eng,2015-04-26,281533,12744,140319,434596,24343,67,414,24824,91.4,94.3,75862,305,920,77087,28390,105477,5452,4
Eng,2015-05-03,280656,12790,139961,433407,24861,71,486,25418,91.1,94.1,77017,355,938,78310,29503,107813,5406,14
Eng,2015-05-10,288793,11975,144348,445116,28807,66,553,29426,90.0,93.4,77699,326,970,78995,27151,106146,6559,17
Eng,2015-05-17,286685,12967,141619,441271,24870,128,445,25443,91.3,94.2,77125,344,956,78425,28853,107278,5348,5
Eng,2015-05-24,280614,12933,141154,434701,20616,92,454,21162,92.7,95.1,76666,340,991,77997,28845,106842,4293,8
Eng,2015-05-31,278072,11453,141110,430635,22637,175,547,23359,91.9,94.6,75075,323,996,76394,25550,101944,5007,10
Eng,2015-06-07,284207,12383,138134,434724,25191,34,519,25744,91.1,94.1,75884,284,960,77128,28101,105229,5616,15
Eng,2015-06-14,290722,12340,141089,444151,21908,51,620,22579,92.5,94.9,76269,291,928,77488,28270,105758,4470,3
Eng,2015-06-21,293589,12143,142859,448591,21878,86,609,22573,92.5,95.0,76494,248,944,77686,28469,106155,3880,1
Eng,2015-06-28,292301,12315,143812,448428,20022,57,455,20534,93.2,95.4,77053,242,964,78259,29444,107703,3624,1
