period,total_attendances,Value
2013-02-10,415039.0,3.968571428571429
2013-02-17,409586.0,2.232857142857143
2013-02-24,400726.0,0.1742857142857143
2013-03-03,423610.0,0.10428571428571429
2013-03-10,430769.0,3.025714285714286
2013-03-17,420997.0,4.238571428571428
2013-03-24,414799.0,3.551428571428571
2013-03-31,416972.0,0.08428571428571428
2013-04-07,424499.0,0.09285714285714286
2013-04-14,417763.0,2.9257142857142857
2013-04-21,433446.0,0.8385714285714286
2013-04-28,430561.0,1.0842857142857143
2013-05-05,438030.0,0.19714285714285712
2013-05-12,443718.0,2.202857142857143
2013-05-19,420859.0,3.9499999999999997
2013-05-26,420304.0,1.4114285714285715
2013-06-02,411475.0,2.8242857142857143
2013-06-09,422308.0,0.19
2013-06-16,422005.0,2.2414285714285715
2013-06-23,437033.0,1.8599999999999999
2013-06-30,432126.0,1.0771428571428572
2013-07-07,440751.0,0.6428571428571429
2013-07-14,457675.0,0.022857142857142857
2013-07-21,457046.0,0.04857142857142858
2013-07-28,440753.0,5.160000000000001
2013-08-04,420149.0,4.284285714285715
2013-08-11,413461.0,1.8628571428571428
2013-08-18,403535.0,2.4385714285714286
2013-08-25,417216.0,2.62
2013-09-01,427343.0,0.08
2013-09-08,410663.0,2.511428571428571
2013-09-15,395337.0,4.137142857142857
2013-09-22,410869.0,1.5842857142857143
2013-09-29,430353.0,0.5057142857142857
2013-10-06,423344.0,3.144285714285714
2013-10-13,415362.0,4.314285714285714
2013-10-20,410503.0,5.137142857142856
2013-10-27,418366.0,8.58
2013-11-03,389081.0,4.485714285714286
2013-11-10,401448.0,4.511428571428572
2013-11-17,406615.0,1.1614285714285715
2013-11-24,404822.0,2.2885714285714287
2013-12-01,412303.0,0.16714285714285712
2013-12-08,415790.0,0.7657142857142858
2013-12-15,415972.0,2.6271428571428572
2013-12-22,408501.0,6.388571428571429
2013-12-29,372162.0,7.431428571428571
2014-01-05,387463.0,8.59142857142857
2014-01-12,383566.0,4.597142857142857
2014-01-19,390532.0,5.675714285714286
