week_ending,baseline_forecast,multivariate_forecast
2015-07-05,442604.9275800834,445510.9052238269
2015-07-12,440991.23939205264,441919.95790128945
2015-07-19,438363.0481940163,441072.71577989875
2015-07-26,437371.4370392993,447831.8753186353
2015-08-02,441807.66143253056,451035.6555852858
2015-08-09,444017.92805843835,453166.55300793133
2015-08-16,446220.35003165377,456846.3777465309
2015-08-23,449197.24065859185,451407.65578526567
