week_ending,y,temp_mean,holiday_count,target_lag_1,target_lag_2,target_lag_3,target_lag_4,temp_mean_lag_1,temp_mean_lag_2
2010-12-05,363410,-1.5,0,381273.0,388743.0,385685.0,391495.0,0.8857142857142858,4.6571428571428575
2010-12-12,411130,0.1571428571428571,0,363410.0,381273.0,388743.0,385685.0,-1.5,0.8857142857142858
2010-12-19,402809,-0.14285714285714285,0,411130.0,363410.0,381273.0,388743.0,0.1571428571428571,-1.5
2010-12-26,361870,-4.214285714285714,2,402809.0,411130.0,363410.0,381273.0,-0.14285714285714285,0.1571428571428571
2011-01-02,423295,3.1714285714285713,3,361870.0,402809.0,411130.0,363410.0,-4.214285714285714,-0.14285714285714285
2011-01-09,400282,2.8714285714285714,1,423295.0,361870.0,402809.0,411130.0,3.1714285714285713,-4.214285714285714
2011-01-16,386293,7.871428571428572,0,400282.0,423295.0,361870.0,402809.0,2.8714285714285714,3.1714285714285713
2011-01-23,380241,2.685714285714286,0,386293.0,400282.0,423295.0,361870.0,7.871428571428572,2.8714285714285714
2011-01-30,382155,2.485714285714286,0,380241.0,386293.0,400282.0,423295.0,2.685714285714286,7.871428571428572
2011-02-06,405190,6.357142857142857,0,382155.0,380241.0,386293.0,400282.0,2.485714285714286,2.685714285714286
2011-02-13,414931,7.442857142857143,0,405190.0,382155.0,380241.0,386293.0,6.357142857142857,2.485714285714286
2011-02-20,398042,4.771428571428571,0,414931.0,405190.0,382155.0,380241.0,7.442857142857143,6.357142857142857
2011-02-27,382208,7.242857142857143,0,398042.0,414931.0,405190.0,382155.0,4.771428571428571,7.442857142857143
2011-03-06,398141,3.5714285714285716,0,382208.0,398042.0,414931.0,405190.0,7.242857142857143,4.771428571428571
2011-03-13,416788,6.1571428571428575,0,398141.0,382208.0,398042.0,414931.0,3.5714285714285716,7.242857142857143
2011-03-20,425003,6.5,0,416788.0,398141.0,382208.0,398042.0,6.1571428571428575,3.5714285714285716
2011-03-27,430512,9.200000000000001,0,425003.0,416788.0,398141.0,382208.0,6.5,6.1571428571428575
2011-04-03,437280,10.6,0,430512.0,425003.0,416788.0,398141.0,9.200000000000001,6.5
2011-04-10,433066,12.042857142857143,0,437280.0,430512.0,425003.0,416788.0,10.6,9.200000000000001
2011-04-17,414417,10.185714285714285,0,433066.0,437280.0,430512.0,425003.0,12.042857142857143,10.6
2011-04-24,430923,14.2,1,414417.0,433066.0,437280.0,430512.0,10.185714285714285,12.042857142857143
2011-05-01,441657,11.914285714285715,2,430923.0,414417.0,433066.0,437280.0,14.2,10.185714285714285
2011-05-08,431361,12.799999999999999,1,441657.0,430923.0,414417.0,433066.0,11.914285714285715,14.2
2011-05-15,420448,11.571428571428571,0,431361.0,441657.0,430923.0,414417.0,12.799999999999999,11.914285714285715
2011-05-22,420850,12.471428571428572,0,420448.0,431361.0,441657.0,430923.0,11.571428571428571,12.799999999999999
2011-05-29,418370,12.200000000000001,0,420850.0,420448.0,431361.0,441657.0,12.471428571428572,11.571428571428571
2011-06-05,418503,13.771428571428572,1,418370.0,420850.0,420448.0,431361.0,12.200000000000001,12.471428571428572
2011-06-12,410394,11.1,0,418503.0,418370.0,420850.0,420448.0,13.771428571428572,12.200000000000001
2011-06-19,413409,13.685714285714285,0,410394.0,418503.0,418370.0,420850.0,11.1,13.771428571428572
2011-06-26,415143,15.0,0,413409.0,410394.0,418503.0,418370.0,13.685714285714285,11.1
2011-07-03,433196,15.12857142857143,0,415143.0,413409.0,410394.0,418503.0,15.0,13.685714285714285
2011-07-10,429461,15.942857142857141,0,433196.0,415143.0,413409.0,410394.0,15.12857142857143,15.0
2011-07-17,423223,15.214285714285714,0,429461.0,433196.0,415143.0,413409.0,15.942857142857141,15.12857142857143
2011-07-24,411310,14.62857142857143,0,423223.0,429461.0,433196.0,415143.0,15.214285714285714,15.942857142857141
2011-07-31,415310,16.057142857142857,0,411310.0,423223.0,429461.0,433196.0,14.62857142857143,15.214285714285714
2011-08-07,413321,17.67142857142857,0,415310.0,411310.0,423223.0,429461.0,16.057142857142857,14.62857142857143
2011-08-14,392425,15.885714285714286,0,413321.0,415310.0,411310.0,423223.0,17.67142857142857,16.057142857142857
2011-08-21,391908,15.0,0,392425.0,413321.0,415310.0,411310.0,15.885714285714286,17.67142857142857
2011-08-28,388154,14.6,0,391908.0,392425.0,413321.0,415310.0,15.0,15.885714285714286
2011-09-04,402034,14.742857142857144,1,388154.0,391908.0,392425.0,413321.0,14.6,15.0
2011-09-11,399391,15.514285714285714,0,402034.0,388154.0,391908.0,392425.0,14.742857142857144,14.6
2011-09-18,415195,13.557142857142859,0,399391.0,402034.0,388154.0,391908.0,15.514285714285714,14.742857142857144
2011-09-25,421368,13.814285714285715,0,415195.0,399391.0,402034.0,388154.0,13.557142857142859,15.514285714285714
2011-10-02,441732,18.32857142857143,0,421368.0,415195.0,399391.0,402034.0,13.814285714285715,13.557142857142859
2011-10-09,435304,14.200000000000001,0,441732.0,421368.0,415195.0,399391.0,18.32857142857143,13.814285714285715
2011-10-16,424876,13.414285714285715,0,435304.0,441732.0,421368.0,415195.0,14.200000000000001,18.32857142857143
2011-10-23,406739,9.5,0,424876.0,435304.0,441732.0,421368.0,13.414285714285715,14.200000000000001
2011-10-30,397553,10.985714285714286,0,406739.0,424876.0,435304.0,441732.0,9.5,13.414285714285715
2011-11-06,407619,11.728571428571428,0,397553.0,406739.0,424876.0,435304.0,10.985714285714286,9.5
2011-11-13,404644,10.214285714285714,0,407619.0,397553.0,406739.0,424876.0,11.728571428571428,10.985714285714286
